Strain,Rec,date,transfer,plateID,wellID,wellCol,wellRow,Treatment,Replicate,Environment,OD
AB3,Rec+,290720,T01,STR AB3 SHIFT 1,A1,1,A,STP only,1,X,1.076
AB3,Rec+,290720,T01,STR AB3 SHIFT 1,A2,2,A,STP only,1,X,1.049
AB3,Rec+,290720,T01,STR AB3 SHIFT 1,A3,3,A,STP only,1,X,1.007
AB3,Rec+,290720,T01,STR AB3 SHIFT 1,A4,4,A,STP only,1,S,0.916
AB3,Rec+,290720,T01,STR AB3 SHIFT 1,A5,5,A,STP only,1,S,0.869
AB3,Rec+,290720,T01,STR AB3 SHIFT 1,A6,6,A,STP only,1,S,0.875
AB3,Rec+,290720,T01,STR AB3 SHIFT 1,B1,1,B,STP only,2,X,0.901
AB3,Rec+,290720,T01,STR AB3 SHIFT 1,B2,2,B,STP only,2,X,0.897
AB3,Rec+,290720,T01,STR AB3 SHIFT 1,B3,3,B,STP only,2,X,0.875
AB3,Rec+,290720,T01,STR AB3 SHIFT 1,B4,4,B,STP only,2,S,0.855
AB3,Rec+,290720,T01,STR AB3 SHIFT 1,B5,5,B,STP only,2,S,0.868
AB3,Rec+,290720,T01,STR AB3 SHIFT 1,B6,6,B,STP only,2,S,0.873
AB3,Rec+,290720,T01,STR AB3 SHIFT 1,C1,1,C,STP only,3,X,0.854
AB3,Rec+,290720,T01,STR AB3 SHIFT 1,C2,2,C,STP only,3,X,0.875
AB3,Rec+,290720,T01,STR AB3 SHIFT 1,C3,3,C,STP only,3,X,0.848
AB3,Rec+,290720,T01,STR AB3 SHIFT 1,C4,4,C,STP only,3,S,0.84
AB3,Rec+,290720,T01,STR AB3 SHIFT 1,C5,5,C,STP only,3,S,0.824
AB3,Rec+,290720,T01,STR AB3 SHIFT 1,C6,6,C,STP only,3,S,0.851
AB3,Rec+,290720,T01,STR AB3 SHIFT 1,D1,1,D,STP only,4,X,0.884
AB3,Rec+,290720,T01,STR AB3 SHIFT 1,D2,2,D,STP only,4,X,0.845
AB3,Rec+,290720,T01,STR AB3 SHIFT 1,D3,3,D,STP only,4,X,0.833
AB3,Rec+,290720,T01,STR AB3 SHIFT 1,D4,4,D,STP only,4,S,0.81
AB3,Rec+,290720,T01,STR AB3 SHIFT 1,D5,5,D,STP only,4,S,0.802
AB3,Rec+,290720,T01,STR AB3 SHIFT 1,D6,6,D,STP only,4,S,0.817
AB3,Rec+,290720,T01,RIF AB3 SHIFT 1,A1,1,A,RIF only,1,X,1.005
AB3,Rec+,290720,T01,RIF AB3 SHIFT 1,A2,2,A,RIF only,1,X,1.058
AB3,Rec+,290720,T01,RIF AB3 SHIFT 1,A3,3,A,RIF only,1,X,0.99
AB3,Rec+,290720,T01,RIF AB3 SHIFT 1,A4,4,A,RIF only,1,R,0.938
AB3,Rec+,290720,T01,RIF AB3 SHIFT 1,A5,5,A,RIF only,1,R,0.934
AB3,Rec+,290720,T01,RIF AB3 SHIFT 1,A6,6,A,RIF only,1,R,1.029
AB3,Rec+,290720,T01,RIF AB3 SHIFT 1,B1,1,B,RIF only,2,X,0.9
AB3,Rec+,290720,T01,RIF AB3 SHIFT 1,B2,2,B,RIF only,2,X,0.919
AB3,Rec+,290720,T01,RIF AB3 SHIFT 1,B3,3,B,RIF only,2,X,0.871
AB3,Rec+,290720,T01,RIF AB3 SHIFT 1,B4,4,B,RIF only,2,R,0.85
AB3,Rec+,290720,T01,RIF AB3 SHIFT 1,B5,5,B,RIF only,2,R,0.869
AB3,Rec+,290720,T01,RIF AB3 SHIFT 1,B6,6,B,RIF only,2,R,0.933
AB3,Rec+,290720,T01,RIF AB3 SHIFT 1,C1,1,C,RIF only,3,X,0.865
AB3,Rec+,290720,T01,RIF AB3 SHIFT 1,C2,2,C,RIF only,3,X,0.874
AB3,Rec+,290720,T01,RIF AB3 SHIFT 1,C3,3,C,RIF only,3,X,0.873
AB3,Rec+,290720,T01,RIF AB3 SHIFT 1,C4,4,C,RIF only,3,R,0.849
AB3,Rec+,290720,T01,RIF AB3 SHIFT 1,C5,5,C,RIF only,3,R,0.856
AB3,Rec+,290720,T01,RIF AB3 SHIFT 1,C6,6,C,RIF only,3,R,0.863
AB3,Rec+,290720,T01,RIF AB3 SHIFT 1,D1,1,D,RIF only,4,X,0.889
AB3,Rec+,290720,T01,RIF AB3 SHIFT 1,D2,2,D,RIF only,4,X,0.836
AB3,Rec+,290720,T01,RIF AB3 SHIFT 1,D3,3,D,RIF only,4,X,0.82
AB3,Rec+,290720,T01,RIF AB3 SHIFT 1,D4,4,D,RIF only,4,R,0.806
AB3,Rec+,290720,T01,RIF AB3 SHIFT 1,D5,5,D,RIF only,4,R,0.795
AB3,Rec+,290720,T01,RIF AB3 SHIFT 1,D6,6,D,RIF only,4,R,0.813
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,A1,1,A,Mixed,1,X,0.889
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,A2,2,A,Mixed,1,X,0.816
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,A3,3,A,Mixed,1,X,0.805
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,A4,4,A,Mixed,1,S,0.797
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,A5,5,A,Mixed,1,R,0.797
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,A6,6,A,Mixed,1,B,0.07
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,B1,1,B,Mixed,2,X,0.921
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,B2,2,B,Mixed,2,X,0.875
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,B3,3,B,Mixed,2,X,0.829
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,B4,4,B,Mixed,2,S,0.839
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,B5,5,B,Mixed,2,R,0.84
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,B6,6,B,Mixed,2,B,0.068
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,C1,1,C,Mixed,3,X,0.962
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,C2,2,C,Mixed,3,X,0.896
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,C3,3,C,Mixed,3,X,0.846
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,C4,4,C,Mixed,3,S,0.873
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,C5,5,C,Mixed,3,R,0.866
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,C6,6,C,Mixed,3,B,0.081
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,D1,1,D,Mixed,4,X,1.024
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,D2,2,D,Mixed,4,X,0.985
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,D3,3,D,Mixed,4,X,0.947
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,D4,4,D,Mixed,4,S,0.897
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,D5,5,D,Mixed,4,R,0.946
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,D6,6,D,Mixed,4,B,0.068
